Category,Rating,Reviews,Price,platform
ART_AND_DESIGN,4.1,159,0.0,google
ART_AND_DESIGN,3.9,967,0.0,google
ART_AND_DESIGN,4.7,87510,0.0,google
ART_AND_DESIGN,4.5,215644,0.0,google
ART_AND_DESIGN,4.3,967,0.0,google
ART_AND_DESIGN,4.4,167,0.0,google
ART_AND_DESIGN,3.8,178,0.0,google
ART_AND_DESIGN,4.1,36815,0.0,google
ART_AND_DESIGN,4.4,13791,0.0,google
ART_AND_DESIGN,4.7,121,0.0,google
ART_AND_DESIGN,4.4,13880,0.0,google
ART_AND_DESIGN,4.4,8788,0.0,google
ART_AND_DESIGN,4.2,44829,0.0,google
ART_AND_DESIGN,4.6,4326,0.0,google
ART_AND_DESIGN,4.4,1518,0.0,google
ART_AND_DESIGN,3.2,55,0.0,google
ART_AND_DESIGN,4.7,3632,0.0,google
ART_AND_DESIGN,4.5,27,0.0,google
ART_AND_DESIGN,4.3,194216,0.0,google
ART_AND_DESIGN,4.6,224399,0.0,google
ART_AND_DESIGN,4.0,450,0.0,google
ART_AND_DESIGN,4.1,654,0.0,google
ART_AND_DESIGN,4.7,7699,0.0,google
ART_AND_DESIGN,4.7,118,0.0,google
ART_AND_DESIGN,4.8,192,0.0,google
ART_AND_DESIGN,4.7,20260,0.0,google
ART_AND_DESIGN,4.1,203,0.0,google
ART_AND_DESIGN,3.9,136,0.0,google
ART_AND_DESIGN,4.1,223,0.0,google
ART_AND_DESIGN,4.2,1120,0.0,google
ART_AND_DESIGN,4.1,227,0.0,google
ART_AND_DESIGN,4.5,5035,0.0,google
ART_AND_DESIGN,4.2,1015,0.0,google
ART_AND_DESIGN,4.7,353,0.0,google
ART_AND_DESIGN,3.8,564,0.0,google
ART_AND_DESIGN,4.7,8145,0.0,google
ART_AND_DESIGN,4.1,36639,0.0,google
ART_AND_DESIGN,4.7,158,0.0,google
ART_AND_DESIGN,4.0,591,0.0,google
ART_AND_DESIGN,4.2,117,0.0,google
ART_AND_DESIGN,4.5,176,0.0,google
ART_AND_DESIGN,4.4,295221,0.0,google
ART_AND_DESIGN,3.8,2206,0.0,google
ART_AND_DESIGN,4.2,26,0.0,google
ART_AND_DESIGN,4.7,174531,0.0,google
ART_AND_DESIGN,4.6,1070,0.0,google
ART_AND_DESIGN,4.2,85,0.0,google
ART_AND_DESIGN,4.3,845,0.0,google
AUTO_AND_VEHICLES,4.2,367,0.0,google
AUTO_AND_VEHICLES,4.0,1598,0.0,google
AUTO_AND_VEHICLES,3.8,284,0.0,google
AUTO_AND_VEHICLES,4.6,17057,0.0,google
AUTO_AND_VEHICLES,3.9,129,0.0,google
AUTO_AND_VEHICLES,4.3,542,0.0,google
AUTO_AND_VEHICLES,4.9,10479,0.0,google
AUTO_AND_VEHICLES,4.4,805,0.0,google
AUTO_AND_VEHICLES,4.2,129,0.0,google
AUTO_AND_VEHICLES,4.0,1403,0.0,google
AUTO_AND_VEHICLES,3.9,3971,0.0,google
AUTO_AND_VEHICLES,4.6,534,0.0,google
AUTO_AND_VEHICLES,4.9,7774,0.0,google
AUTO_AND_VEHICLES,4.3,38846,0.0,google
AUTO_AND_VEHICLES,4.6,2431,0.0,google
AUTO_AND_VEHICLES,4.9,6090,0.0,google
AUTO_AND_VEHICLES,3.9,295,0.0,google
AUTO_AND_VEHICLES,4.0,190,0.0,google
AUTO_AND_VEHICLES,4.3,40211,0.0,google
AUTO_AND_VEHICLES,3.9,356,0.0,google
AUTO_AND_VEHICLES,4.2,52530,0.0,google
AUTO_AND_VEHICLES,4.8,116986,0.0,google
AUTO_AND_VEHICLES,3.6,1379,0.0,google
AUTO_AND_VEHICLES,4.2,271920,0.0,google
AUTO_AND_VEHICLES,4.8,736,0.0,google
AUTO_AND_VEHICLES,4.8,7021,0.0,google
AUTO_AND_VEHICLES,4.6,197,0.0,google
AUTO_AND_VEHICLES,4.5,737,0.0,google
AUTO_AND_VEHICLES,4.3,3574,0.0,google
AUTO_AND_VEHICLES,4.5,994,0.0,google
AUTO_AND_VEHICLES,4.9,197136,0.0,google
AUTO_AND_VEHICLES,3.9,142,0.0,google
AUTO_AND_VEHICLES,4.4,15168,0.0,google
AUTO_AND_VEHICLES,4.0,2155,0.0,google
AUTO_AND_VEHICLES,4.3,138,0.0,google
AUTO_AND_VEHICLES,3.7,5414,0.0,google
AUTO_AND_VEHICLES,4.4,21777,0.0,google
AUTO_AND_VEHICLES,4.3,348,0.0,google
AUTO_AND_VEHICLES,3.2,250,0.0,google
AUTO_AND_VEHICLES,4.6,13372,0.0,google
AUTO_AND_VEHICLES,4.6,7880,0.0,google
AUTO_AND_VEHICLES,4.5,3617,0.0,google
AUTO_AND_VEHICLES,3.7,4806,0.0,google
AUTO_AND_VEHICLES,4.6,65786,0.0,google
AUTO_AND_VEHICLES,4.6,31433,0.0,google
AUTO_AND_VEHICLES,4.6,5097,0.0,google
AUTO_AND_VEHICLES,4.0,1754,0.0,google
AUTO_AND_VEHICLES,4.4,2680,0.0,google
AUTO_AND_VEHICLES,4.0,1288,0.0,google
BEAUTY,4.7,18900,0.0,google
BEAUTY,4.9,49790,0.0,google
BEAUTY,4.7,1150,0.0,google
BEAUTY,3.9,1739,0.0,google
BEAUTY,3.9,32090,0.0,google
BEAUTY,4.2,2225,0.0,google
BEAUTY,4.6,4369,0.0,google
BEAUTY,4.3,8572,0.0,google
BEAUTY,4.7,964,0.0,google
BEAUTY,4.7,42050,0.0,google
BEAUTY,4.8,104,0.0,google
BEAUTY,4.2,17934,0.0,google
BEAUTY,4.3,601,0.0,google
BEAUTY,4.5,36,0.0,google
BEAUTY,4.1,187,0.0,google
BEAUTY,4.2,30,0.0,google
BEAUTY,4.5,134,0.0,google
BEAUTY,4.4,74,0.0,google
BEAUTY,4.0,113715,0.0,google
BEAUTY,4.1,3595,0.0,google
BEAUTY,4.1,9315,0.0,google
BEAUTY,4.4,75,0.0,google
BEAUTY,4.6,38,0.0,google
BEAUTY,4.5,26834,0.0,google
BEAUTY,3.9,2277,0.0,google
BEAUTY,4.4,2280,0.0,google
BEAUTY,4.6,184,0.0,google
BEAUTY,3.8,9,0.0,google
BEAUTY,4.0,364,0.0,google
BEAUTY,4.3,18,0.0,google
BEAUTY,4.5,473,0.0,google
BEAUTY,4.1,66,0.0,google
BEAUTY,3.7,3871,0.0,google
BEAUTY,4.7,257,0.0,google
BEAUTY,4.2,62,0.0,google
BOOKS_AND_REFERENCE,4.6,2914724,0.0,google
BOOKS_AND_REFERENCE,4.5,1857,0.0,google
BOOKS_AND_REFERENCE,4.6,4478,0.0,google
BOOKS_AND_REFERENCE,4.4,577550,0.0,google
BOOKS_AND_REFERENCE,4.2,814080,0.0,google
BOOKS_AND_REFERENCE,4.5,246315,0.0,google
BOOKS_AND_REFERENCE,4.5,454060,0.0,google
BOOKS_AND_REFERENCE,4.5,155446,0.0,google
BOOKS_AND_REFERENCE,4.5,418,0.0,google
BOOKS_AND_REFERENCE,4.4,22486,0.0,google
